name,code,country,lat,lon,elev,style,rwdir,rwlen,freq,desc
"KUTNA HORA",KUTHOR,CZ,4957.000N,01516.617E,0.0m,1,,,,"NADRAZI"
"LANSKROUN",LANSKR,CZ,4954.517N,01636.167E,421.0m,1,,,,"NADRAZI"
"LAZNE BELOHRAD",LAZBEL,CZ,5025.717N,01534.967E,0.0m,1,,,,"NAMESTI"
"LAZNE KYNZVART",LAZKYN,CZ,5000.583N,01237.583E,0.0m,1,,,,"KOSTEL"
"LEDEC N SAZAVOU",LEDEC,CZ,4941.767N,01516.617E,0.0m,1,,,,"LEDEC"
"LETOVICE",LETOVI,CZ,4932.867N,01634.467E,372.0m,1,,,,"CENTRUM"
"LHOTA",LHOTAH,CZ,4918.483N,01655.833E,298.0m,1,,,,"HRAZ"
"LIBAVA",LIBAVA,CZ,4943.283N,01731.183E,0.0m,1,,,,"KOSTEL"
"LIBECHOV",LIBECH,CZ,5024.500N,01426.700E,0.0m,1,,,,"ZAMEK"
"LIBINA",LIBINA,CZ,4952.733N,01705.050E,500.0m,1,,,,"KOSTEL"
"LIBKOVICE",LIBKOV,CZ,5034.250N,01341.000E,277.0m,2,3,600.0m,"125,825","SLZ PLOCHA"
"LIBLIN",LIBLIN,CZ,4954.950N,01332.600E,0.0m,1,,,,"KOSTEL"
"LIBOCHOVICE",LIBCHV,CZ,5024.300N,01402.617E,0.0m,1,,,,"KOSTEL"
"LINE",LINE,CZ,4940.517N,01316.467E,363.0m,2,60,0.0m,"129.000","LETISTE"
"LIPNICE",LIPNIC,CZ,4936.650N,01524.550E,600.0m,1,,,,"HRAD"
"LIPNO",LIPNO,CZ,4837.983N,01414.217E,0.0m,1,,,,"HRAZ"
"LIPOVEC",LIPOVE,CZ,4922.950N,01648.300E,0.0m,1,,,,"KOSTEL"
"LIPUVKA",LIPUVK,CZ,4920.400N,01633.150E,364.0m,1,,,,"KRIZOVATKA"
"LITENCICE",LITENC,CZ,4912.217N,01712.350E,0.0m,1,,,,"KOSTEL"
"LITOMERICE",LITOME,CZ,5031.783N,01408.100E,0.0m,1,,,,"MOST"
"LITOMYSL",LITOMY,CZ,4952.500N,01618.250E,368.0m,1,,,,"NADRAZI"
"LITOVEL",LITOVE,CZ,4942.133N,01704.417E,0.0m,1,,,,"KOSTEL"
"LK DACICE",LKDAC,CZ,4904.200N,01527.300E,495.0m,2,14,600.0m,"125,825","SLZ PLOCHA"
"LK CHEB",LKCHEB,CZ,5003.917N,01224.500E,486.0m,5,6,1400.0m,"122,2","SLZ PLOCHA"
"LK LETOVICE",LKLETO,CZ,4932.833N,01635.750E,370.0m,2,16,345.0m,"125,825","SLZ PLOCHA"
"LK LITOMERICE",LKLITO,CZ,5031.617N,01411.100E,150.0m,2,10,450.0m,"125,825","SLZ PLOCHA"
"LK LITOMYSL",LKLITM,CZ,4952.467N,01620.117E,383.0m,2,9,600.0m,"125,825","SLZ PLOCHA"
"LK LOMNICE",LKLOM,CZ,5032.367N,01523.467E,510.0m,2,14,450.0m,"125,825","SLZ PLOCHA"
"LK MELNIK",LKMELN,CZ,5020.583N,01426.083E,162.0m,2,9,700.0m,"120,675","SLZ PLOCHA"
"LK NACHOD",LKNACH,CZ,5024.833N,01607.283E,440.0m,2,11,430.0m,"123,325","SLZ PLOCHA"
"LK OPAVA",LKOPAV,CZ,4956.417N,01759.000E,260.0m,2,10,400.0m,"125,825","SLZ PLOCHA"
"LK PISEK",LKPISE,CZ,4920.500N,01406.750E,412.0m,2,16,600.0m,"120,325","SLZ PLOCHA"
"LK RICANY",LKRICA,CZ,4958.450N,01439.000E,380.0m,2,9,450.0m,"125,825","SLZ PLOCHA"
"LK ROKYCANY",LKROKY,CZ,4945.050N,01335.367E,400.0m,2,9,960.0m,"125,825","SLZ PLOCHA"
"LK STARA PAKA",LKSTPA,CZ,5030.000N,01529.000E,484.0m,2,10,580.0m,"122,2","SLZ PLOCHA"
"LK TEPLICE",LKTEPL,CZ,5037.300N,01348.667E,350.0m,2,18,480.0m,"122,4","SLZ PLOCHA"
"LK TREBIC",LKTREB,CZ,4911.900N,01554.167E,486.0m,2,11,520.0m,"125,825","SLZ PLOCHA"
"LK TRUTNOV",LKTRUT,CZ,5034.033N,01551.867E,454.0m,2,17,450.0m,"125,825","SLZ PLOCHA"
"LK USTI N LABEM",LKUSTI,CZ,5042.050N,01358.300E,239.0m,2,5,650.0m,"123.4","SLZ PLOCHA"
"LKBA",LKBA,CZ,4847.450N,01653.550E,160.0m,2,8,740.0m,"123,5","BRECLAV"
"LKBE",LKBE,CZ,4944.450N,01438.683E,403.0m,2,9,750.0m,"118,0","BENESOV"
"LKBO",LKBO,CZ,4940.233N,01717.700E,236.0m,2,7,840.0m,"118,275","BOHUNOVICE"
"LKBR",LKBR,CZ,5033.717N,01620.567E,409.0m,2,14,920.0m,"123,5","BROUMOV"
"LKBU",LKBU,CZ,4958.467N,01410.683E,426.0m,2,10,730.0m,"122,2","BUBOVICE"
"LKCE",LKCE,CZ,5042.633N,01434.083E,283.0m,2,13,700.0m,"123,6","CESKALIPA"
